"","Samlpe.Location.1","Sample.Location.2","PhysLocID"
"1","Tower 1","Drawer 2",1
"10","Tower 1","Drawer 3",2
"56","Silver Cabinet 1","Drawer 3",3
"277","Silver Cabinet 1","Drawer 4",4
"285","Silver Cabinet 1","Drawer 6",5
"336","Silver Cabinet 1","Drawer 7",6
"365","Silver Cabinet 1","Drawer 8",7
"471","Silver Cabinet 1","Drawer 10",8
"503","Silver Cabinet 1","Drawer 11",9
"523","Silver Cabinet 1","Drawer 12",10
"656","Silver Cabinet 1","Drawer 13",11
"727","Silver Cabinet 1","Drawer 14",12
"783","Silver Cabinet 1","Drawer 15",13
"863","Silver Cabinet 2","Drawer 1",14
"938","Silver Cabinet 2","Drawer 3",15
"1073","Silver Cabinet 2","Drawer 4",16
"1149","Silver Cabinet 2","Drawer 5",17
"1180","Silver Cabinet 2","Drawer 7",18
"1247","Silver Cabinet 2","Drawer 8",19
"1274","Silver Cabinet 2","Drawer 9",20
"1302","Silver Cabinet 2","Drawer 10",21
"1475","Silver Cabinet 2","Drawer 11",22
"1537","Silver Cabinet 2","Drawer 12",23
"1633","Silver Cabinet 2","Drawer 13",24
"1669","Silver Cabinet 2","Drawer 14",25
"1713","Silver Cabinet 2","Drawer 15",26
"1778","Silver Cabinet 2","Drawer 16",27
"1847","Silver Cabinet 2","Drawer 17",28
"1935","Silver Cabinet 2","Drawer 18",29
"1989","Silver Cabinet 2","Drawer 19",30
"2090","Silver Cabinet 3","Drawer 1",31
"2192","Silver Cabinet 3","Drawer 2",32
"2225","Silver Cabinet 3","Drawer 3",33
"2257","Silver Cabinet 3","Drawer 4",34
"2292","Silver Cabinet 3","Drawer 5",35
"2330","Silver Cabinet 3","Drawer 6",36
"2389","Silver Cabinet 3","Drawer 7",37
"2391","Silver Cabinet 3","Drawer 8",38
"2575","Silver Cabinet 3","Drawer 9",39
"2610","Silver Cabinet 3","Drawer 10",40
"2647","Silver Cabinet 3","Drawer 11",41
